operon_id,gene_id,order
operon_1723,g9604,2
operon_1722,g9603,1
operon_1722,g9602,2
operon_2176,GSOIDG00007969001,1
operon_2176,GSOIDG00007968001,2
operon_2176,g13266,3
operon_1719,g9593,1
operon_1719,g9592,2
operon_1719,g9591,3
operon_1719,GSOIDG00002353001,4
operon_1719,g9590,5
operon_1006,g6052,1
operon_1006,g6051,2
operon_1006,g6050,3
operon_1718,g9586,1
operon_1718,g9585,2
operon_1717,GSOIDG00002344001,1
operon_1717,g9583,2
operon_2175,g13256,1
operon_2175,g13255,2
operon_2175,GSOIDG00007958001,3
operon_999,g6032,1
operon_999,GSOIDG00007061001,2
operon_999,GSOIDG00007060001,3
operon_1715,GSOIDG00002332001,1
operon_1715,g9571,2
operon_998,g6028,1
operon_998,g6027,2
operon_997,g6024,1
operon_997,g6023,2
operon_2172,GSOIDG00007935001,1
operon_2172,g13231,2
operon_2172,g13230,3
operon_2171,g13228,1
operon_2171,g13227,2
operon_1704,g9529,1
operon_1704,g9528,2
operon_2170,g13224,1
operon_2170,g13223,2
operon_2170,g13222,3
operon_2170,g13221,4
operon_2170,g13220,5
operon_2168,g13214,1
operon_2168,g13213,2
operon_1702,g9517,1
operon_1702,g9516,2
operon_2167,g13205,1
operon_2167,g13204,2
operon_993,g5978,1
operon_993,g5977,2
operon_993,GSOIDG00001922001,3
operon_992,GSOIDG00001923001,1
operon_992,g5976,2
operon_992,g5975,3
operon_992,g5974,4
operon_992,g5973,5
operon_1700,g9508,1
operon_992,g5972,6
operon_1700,g9507,2
operon_991,g5971,1
operon_991,g5970,2
operon_990,g5956,1
operon_2165,g13194,1
operon_990,GSOIDG00014400001,2
operon_2165,g13193,2
operon_988,g5950,1
operon_988,g5948,2
operon_2164,g13181,1
operon_2164,g13180,2
operon_985,g5936,1
operon_985,g5935,2
operon_1693,g9477,1
operon_1693,g9476,2
operon_1693,g9475,3
operon_1693,g9474,4
operon_1693,g9473,5
operon_1692,g9472,1
operon_1692,GSOIDG00002212001,2
operon_1691,g9470_GSOIDG00002210001,1
operon_1691,g9469,2
operon_2160,g13158,1
operon_2160,g13157,2
operon_1690,g9467,1
operon_1690,g9466,2
operon_1690,g9465,3
operon_983,g5928,1
operon_983,g5927,2
operon_1690,g9464,4
operon_2160,g13156,3
operon_2160,g13155,4
operon_2160,g13154,5
operon_2159,g13153,1
operon_2159,GSOIDG00007818001,2
operon_982,g5919,1
operon_982,g5918,2
operon_1689,g9453,1
operon_2157,g13149,1
operon_1689,g9452,2
operon_2157,g13148,2
operon_980,g5916,1
operon_980,g5915,2
operon_976,GSOIDG00001868001,1
operon_976,g5910,2
operon_975,g5907,1
operon_975,g5906,2
operon_2156,g13141,1
operon_2156,g13140,2
operon_2156,GSOIDG00007800001,3
operon_2156,g13139,4
operon_974,GSOIDG00001019001,1
operon_974,g5903,2
operon_1686,g9438,1
operon_1686,g9437,2
operon_1685,g9434,1
operon_1685,g9433,2
operon_1684,g9432,1
operon_1684,g9431,2
operon_1683,g9430,1
operon_1683,g9429,2
operon_2153,GSOIDG00007783001,1
operon_973,g5893,1
operon_2153,GSOIDG00007782001,2
operon_973,g5892,2
operon_2150,g13127,1
operon_2150,g13126,2
operon_2150,g13125,3
operon_2149,g13123,1
operon_2149,GSOIDG00007771001,2
operon_2149,GSOIDG00007770001,3
operon_968,g5867,1
operon_968,g5866,2
operon_2144,g13109,1
operon_2144,GSOIDG00007747001,2
operon_2144,GSOIDG00007746001,3
operon_2144,g13107,4
operon_2143,GSOIDG00007743001,1
operon_2143,GSOIDG00007742001,2
operon_2142,g13104,1
operon_2142,GSOIDG00007740001,2
operon_2141,GSOIDG00007739001,1
operon_2141,GSOIDG00007738001,2
operon_2141,GSOIDG00007737001,3
operon_2141,GSOIDG00007736001,4
operon_1676,GSOIDG00013019001,1
operon_1676,GSOIDG00013020001,2
operon_1675,g9399,1
operon_1675,GSOIDG00013022001,2
operon_1675,g9398,3
operon_964,g5851,1
operon_964,g5850,2
operon_964,g5849,3
operon_963,g5847,1
operon_963,g5846,2
operon_962,g5842,1
operon_962,g5841,2
operon_959,g5823,1
operon_959,g5822,2
operon_1670,GSOIDG00007293001,1
operon_1670,GSOIDG00007298001,2
operon_957,g5814,1
operon_957,g5813,2
operon_954,g5796,1
operon_954,g5795,2
operon_953,g5794,1
operon_953,g5793,2
operon_1663,g9354,1
operon_1663,g9353,2
operon_1662,g9352,1
operon_1662,g9351,2
operon_2135,GSOIDG00007678001,1
operon_2135,g13050,2
operon_1659,g9344,1
operon_1659,GSOIDG00010547001,2
operon_1659,g9343,3
operon_1659,g9342,4
operon_946,g5772,1
operon_946,g5771,2
operon_945,GSOIDG00000875001,1
operon_1658,g9340,1
operon_1658,g9339,2
operon_945,g5769,2
operon_1658,g9338,3
operon_945,g5768,3
operon_945,g5767,4
operon_945,g5766,5
operon_944,g5765,1
operon_944,g5764,2
operon_943,g5762,1
operon_2134,GSOIDG00007664001,1
operon_943,g5761,2
operon_2134,g13040,2
operon_943,g5760,3
operon_943,g5759,4
operon_943,g5758,5
operon_2133,GSOIDG00007662001,1
operon_2133,GSOIDG00007661001,2
operon_1656,g9325,1
operon_1656,g9324,2
operon_2131,g13031,1
operon_2131,g13030,2
operon_2131,g13029,3
operon_2130,g13027,1
operon_2130,g13026,2
operon_941,g5742,1
operon_941,GSOIDG00000844001,2
operon_2129,g13017,1
operon_2129,GSOIDG00005469001,2
operon_936,g5727,1
operon_936,GSOIDG00000830001,2
operon_936,GSOIDG00000829001,3
operon_936,g5725,4
operon_936,g5724,5
operon_935,g5720,1
operon_935,GSOIDG00000816001,2
operon_2127,g13006,1
operon_2127,GSOIDG00006779001,2
operon_2127,GSOIDG00006778001,3
operon_2127,g13004,4
operon_2127,g13003,5
operon_931,g5709,1
operon_931,g5708,2
operon_2125,GSOIDG00002091001,1
operon_2125,g12992,2
operon_2124,g12988,1
operon_2124,g12987,2
operon_2123,g12986,1
operon_930,g5704,1
operon_2123,g12985,2
operon_930,g5703,2
operon_2123,g12984,3
operon_929,g5702,1
operon_2122,g12982,1
operon_2122,g12981,2
operon_929,g5701,2
operon_2121,g12979,1
operon_2121,g12978,2
operon_924,GSOIDG00000774001,1
operon_924,g5682,2
operon_923,g5681,1
operon_923,g5679,2
operon_922,g5677,1
operon_922,g5676,2
operon_922,g5675,3
operon_921,GSOIDG00000765001,1
operon_921,GSOIDG00000764001,2
operon_920,GSOIDG00000761001,1
operon_920,GSOIDG00000760001,2
operon_919,g5669,1
operon_919,g5668,2
operon_919,g5667,3
operon_918,g5666,1
operon_918,g5665,2
operon_917,g5663,1
operon_917,g5662,2
operon_917,g5661,3
operon_916,GSOIDG00000744001,1
operon_916,g5659,2
operon_2118,GSOIDG00003142001,1
operon_2118,GSOIDG00003143001,2
operon_2117,GSOIDG00003144001,1
operon_2117,GSOIDG00003145001,2
operon_2116,g12939,1
operon_2116,GSOIDG00003149001,2
operon_2116,GSOIDG00003150001,3
operon_2115,GSOIDG00003151001,1
operon_2115,GSOIDG00003152001,2
operon_2113,g12931,1
operon_913,GSOIDG00000713001,1
operon_2113,g12930,2
operon_913,GSOIDG00000712001,2
operon_2113,g12929,3
operon_1641,g9228,1
operon_2112,g12920,1
operon_1641,g9227,2
operon_2112,g12919,2
operon_911,g5630,1
operon_2112,g12918,3
operon_911,g5629,2
operon_2111,g12917,1
operon_2111,g12916,2
operon_2111,g12915,3
operon_2109,g12905,1
operon_2109,g12904,2
operon_908,g5603,1
operon_908,g5602,2
operon_2106,g12884,1
operon_2106,g12883,2
operon_905,GSOIDG00000654001,1
operon_905,GSOIDG00000653001,2
operon_904,g5593,1
operon_904,GSOIDG00000649001,2
operon_903,GSOIDG00000648001,1
operon_903,GSOIDG00000647001,2
operon_1631,g9175,1
operon_1631,g9174,2
operon_1631,g9173,3
operon_1629,GSOIDG00010127001,1
operon_1629,GSOIDG00010126001,2
operon_1628,GSOIDG00010119001,1
operon_900,GSOIDG00000627001,1
operon_1628,GSOIDG00010118001,2
operon_900,GSOIDG00000626001,2
operon_1628,g9161,3
operon_1628,g9160,4
operon_2103,g12871,1
operon_2103,g12870,2
operon_1627,g9159,1
operon_2103,g12869,3
operon_1627,g9158,2
operon_1627,g9157,3
operon_1627,GSOIDG00014085001,4
operon_1627,g9156,5
operon_1627,GSOIDG00014083001,6
operon_1627,GSOIDG00014082001,7
operon_896,GSOIDG00000606001,1
operon_896,GSOIDG00000605001,2
operon_896,GSOIDG00000604001,3
operon_896,g5561,4
operon_2100,GSOIDG00003260001,1
operon_2100,GSOIDG00003261001,2
operon_895,GSOIDG00000601001,1
operon_895,GSOIDG00000600001,2
operon_894,g5556,1
operon_894,GSOIDG00000597001,2
operon_894,g5555,3
operon_893,GSOIDG00000591001,1
operon_893,GSOIDG00000590001,2
operon_892,GSOIDG00000580001,1
operon_1621,g9125,1
operon_1621,g9124,2
operon_892,GSOIDG00000579001,2
operon_2098,g12837,1
operon_1620,g9123,1
operon_2098,g12836,2
operon_892,GSOIDG00000578001,3
operon_2098,g12835,3
operon_1620,g9122,2
operon_2097,GSOIDG00003285001,1
operon_2097,GSOIDG00003286001,2
operon_2097,GSOIDG00003287001,3
operon_2097,g12832,4
operon_2096,GSOIDG00003290001,1
operon_2096,GSOIDG00003291001,2
operon_2095,g12829,1
operon_2095,g12828,2
operon_2095,g12827,3
operon_2095,GSOIDG00003296001,4
operon_2094,g12825,1
operon_2094,g12824,2
operon_2094,GSOIDG00003303001,3
operon_2094,GSOIDG00003304001,4
operon_2094,g12822,5
operon_2094,g12821,6
operon_2092,GSOIDG00003313001,1
operon_2092,GSOIDG00003314001,2
operon_2092,g12815,3
operon_2092,g12814,4
operon_2092,g12813,5
operon_2092,GSOIDG00003319001,6
operon_2092,GSOIDG00003320001,7
operon_2092,g12811,8
operon_2092,g12810,9
operon_1614,GSOIDG00010272001,1
operon_1614,GSOIDG00010271001,2
operon_2091,g12809,1
operon_2091,g12808,2
operon_2088,g12800,1
operon_2088,g12799,2
operon_2088,g12798,3
operon_884,g5510,1
operon_884,GSOIDG00000530001,2
operon_884,g5509,3
operon_2087,g12794,1
operon_2087,g12793,2
operon_883,g5508,1
operon_883,g5507,2
operon_2086,GSOIDG00003342001,1
operon_2086,GSOIDG00003343001,2
operon_2085,g12788,1
operon_2085,GSOIDG00003349001,2
operon_2085,GSOIDG00003350001,3
operon_2084,GSOIDG00003351001,1
operon_2084,g12786,2
operon_2083,g12784,1
operon_2083,g12783,2
operon_2083,g12782,3
operon_2083,g12781,4
operon_880,g5492,1
operon_880,g5491,2
operon_880,g5490,3
operon_879,g5489,1
operon_879,g5488,2
operon_879,g5487,3
operon_2080,g12768,1
operon_2080,g12767,2
operon_2079,g12765,1
operon_2079,GSOIDG00003377001,2
operon_2078,g12764,1
operon_2078,g12763,2
operon_2078,g12762,3
operon_2078,g12761,4
operon_1605,g9038,1
operon_1605,g9037,2
operon_2078,g12760,5
operon_2077,g12758,1
operon_2077,g12757,2
operon_876,g5470,1
operon_876,g5469,2
operon_1604,g9025,1
operon_1604,g9024,2
operon_1603,g9023,1
operon_1603,g9022,2
operon_2073,g12742,1
operon_2073,g12741,2
operon_1602,g9020,1
operon_2073,g12740,3
operon_1602,g9019,2
operon_875,g5459,1
operon_875,g5458,2
operon_875,GSOIDG00000468001,3
operon_379,g2684,1
operon_874,g5457,1
operon_874,GSOIDG00000465001,2
operon_874,g5456,3
operon_379,g2683,2
operon_379,g2682,3
operon_872,g5454,1
operon_872,g5453,2
operon_872,g5452,3
operon_2072,g12728,1
operon_379,g2681,4
operon_2072,GSOIDG00003420001,2
operon_377,g2679,1
operon_377,g2678,2
operon_375,g2665,1
operon_375,g2664,2
operon_2071,g12719,1
operon_2071,g12718,2
operon_2071,g12717,3
operon_2071,g12716,4
operon_374,g2661,1
operon_374,g2660,2
operon_374,g2659,3
operon_374,g2658,4
operon_374,g2657,5
operon_868,g5429,1
operon_868,g5428,2
operon_867,g5427,1
operon_867,GSOIDG00000430001,2
operon_1598,g8995,1
operon_1598,g8994,2
operon_863,g5411,1
operon_1596,g8986,1
operon_863,g5410,2
operon_863,g5409,3
operon_1596,GSOIDG00007325001,2
operon_1595,GSOIDG00007324001,1
operon_1595,g8984,2
operon_1594,g8978,1
operon_1594,g8977,2
operon_1594,g8976,3
operon_1594,GSOIDG00009819001,4
operon_1594,GSOIDG00009818001,5
operon_1594,g8974,6
operon_1594,g8973,7
operon_369,g2633,1
operon_369,g2632,2
operon_2063,g12688,1
operon_2063,g12687,2
operon_2062,g12685,1
operon_2062,g12684,2
operon_1589,g8962,1
operon_1589,GSOIDG00013849001,2
operon_1589,GSOIDG00013848001,3
operon_1589,g8960,4
operon_1589,g8959,5
operon_1589,g8958,6
operon_1588,g8956,1
operon_367,g2618,1
operon_367,g2617,2
operon_1588,g8955,2
operon_1587,GSOIDG00016323001,1
operon_1587,GSOIDG00016324001,2
operon_366,g2614,1
operon_366,g2613,2
operon_366,g2610,3
operon_365,g2609,1
operon_365,g2608,2
operon_859,g5388,1
operon_859,g5387,2
operon_858,g5386,1
operon_858,g5385,2
operon_858,g5384,3
operon_858,GSOIDG00000378001,4
operon_1584,g8937,1
operon_1584,g8936,2
operon_1584,GSOIDG00004581001,3
operon_1583,g8927,1
operon_1583,g8926,2
operon_1582,g8923,1
operon_1582,g8922,2
operon_1581,g8921,1
operon_1581,g8920,2
operon_1581,g8919,3
operon_1579,g8914,1
operon_1579,g8913,2
operon_1579,GSOIDG00012046001,3
operon_2058,g12652,1
operon_1579,g8912,4
operon_1579,g8911,5
operon_2058,g12651,2
operon_854,g5359,1
operon_1578,g8898,1
operon_359,g2583,1
operon_359,g2582,2
operon_854,g5358,2
operon_1578,g8897,2
operon_2056,g12634,1
operon_2056,g12633,2
operon_2055,g12632,1
operon_2055,g12631,2
operon_2055,GSOIDG00012512001,3
operon_2054,g12630,1
operon_2054,GSOIDG00012514001,2
operon_1573,g8875,1
operon_1573,g8874,2
operon_356,g2562,1
operon_1573,g8873,3
operon_356,g2561,2
operon_354,g2556,1
operon_354,GSOIDG00015546001,2
operon_850,g5335,1
operon_353,g2551,1
operon_353,g2550,2
operon_850,g5334,2
operon_352,g2549,1
operon_352,g2548,2
operon_352,g2547,3
operon_849,g5332,1
operon_350,g2544,1
operon_849,g5331,2
operon_350,g2543,2
operon_847,g5327,1
operon_847,g5326,2
operon_349,g2537,1
operon_349,g2536,2
operon_348,g2535,1
operon_348,g2534,2
operon_348,g2533,3
operon_348,g2532,4
operon_347,g2531,1
operon_1567,GSOIDG00004515001,1
operon_347,g2530,2
operon_1567,GSOIDG00004514001,2
operon_844,GSOIDG00000300001,1
operon_844,g5317,2
operon_843,g5314,1
operon_843,g5313,2
operon_843,g5312,3
operon_842,g5311,1
operon_842,g5310,2
operon_345,g2515,1
operon_345,g2514,2
operon_345,GSOIDG00006710001,3
operon_345,g2513,4
operon_841,g5309,1
operon_841,g5308,2
operon_344,GSOIDG00006707001,1
operon_841,g5307,3
operon_344,GSOIDG00006706001,2
operon_841,g5306,4
operon_840,g5304,1
operon_840,g5303,2
operon_838,g5298,1
operon_838,g5297,2
operon_838,g5296,3
operon_838,g5295,4
operon_1565,g8829,1
operon_837,g5289,1
operon_1565,g8828,2
operon_837,g5288,2
operon_341,g2497,1
operon_341,g2496,2
operon_338,g2491,1
operon_338,g2490,2
operon_338,GSOIDG00007229001,3
operon_337,GSOIDG00007231001,1
operon_337,g2488,2
operon_336,g2487,1
operon_336,g2486,2
operon_336,g2485,3
operon_336,g2484,4
operon_2045,GSOIDG00002033001,1
operon_2045,g12568,2
operon_2045,g12567,3
operon_834,g5273,1
operon_834,g5272,2
operon_1560,g8799,1
operon_1560,g8798,2
operon_1560,GSOIDG00004460001,3
operon_1559,g8796,1
operon_1559,g8795,2
operon_1558,GSOIDG00004456001,1
operon_1558,g8794,2
operon_1558,g8793,3
operon_832,g5265,1
operon_1558,g8793b,4
operon_832,g5264,2
operon_1557,g8786,1
operon_2044,g12552,1
operon_2044,g12551,2
operon_1557,g8784,2
operon_1557,g8783,3
operon_1556,g8780,1
operon_1556,GSOIDG00004440001,2
operon_1556,GSOIDG00004439001,3
operon_1556,GSOIDG00004438001,4
operon_1556,g8778,5
operon_1556,g8777,6
operon_1555,g8776,1
operon_1555,GSOIDG00004433001,2
operon_1554,GSOIDG00004432001,1
operon_1554,GSOIDG00004431001,2
operon_1553,g8773,1
operon_1553,GSOIDG00004428001,2
operon_830,GSOIDG00000206001,1
operon_830,g5259,2
operon_830,g5258,3
operon_1551,g8762,1
operon_1551,g8761,2
operon_829,g5249,1
operon_829,GSOIDG00000191001,2
operon_828,GSOIDG00000190001,1
operon_828,g5247,2
operon_2040,g12537,1
operon_2040,g12536,2
operon_828,g5246,3
operon_1546,g8744,1
operon_1546,GSOIDG00004406001,2
operon_332,g2462,1
operon_332,g2461,2
operon_2039,GSOIDG00010645001,1
operon_2039,GSOIDG00010644001,2
operon_827,GSOIDG00000168001,1
operon_827,GSOIDG00000167001,2
operon_827,GSOIDG00000166001,3
operon_330,g2449,1
operon_330,g2448,2
operon_330,g2447,3
operon_330,g2446,4
operon_330,g2445,5
operon_330,g2444,6
operon_329,g2443,1
operon_329,g2441,2
operon_329,g2440,3
operon_1542,g8725,1
operon_2038,g12508,1
operon_1542,g8724,2
operon_2038,g12507,2
operon_1540,GSOIDG00004379001,1
operon_1540,GSOIDG00004378001,2
operon_325,g2425,1
operon_325,g2424,2
operon_324,g2422,1
operon_324,g2421,2
operon_323,g2418,1
operon_323,g2417,2
operon_323,g2416,3
operon_2036,g12499,1
operon_322,g2415,1
operon_322,g2414,2
operon_2036,g12498,2
operon_322,g2413,3
operon_322,g2412,4
operon_2036,g12497,3
operon_322,g2411,5
operon_820,g5197,1
operon_820,g5196,2
operon_818,g5194,1
operon_818,g5193,2
operon_818,g5192,3
operon_818,g5191,4
operon_2032,g12474,1
operon_2032,g12473,2
operon_816,GSOIDG00000091001,1
operon_816,g5182,2
operon_816,g5181,3
operon_815,g5180,1
operon_815,GSOIDG00000087001,2
operon_2028,g12458,1
operon_2028,g12457,2
operon_814,g5175,1
operon_814,g5174,2
operon_814,g5172,3
operon_1535,g8681,1
operon_1535,g8680,2
operon_1534,GSOIDG00004333001,1
operon_1534,g8677,2
operon_2026,GSOIDG00014650001,1
operon_2026,GSOIDG00014649001,2
operon_2024,g12444,1
operon_1534,g8676,3
operon_2024,g12443,2
operon_1530,g8665,1
operon_1530,g8664,2
operon_812,g5151,1
operon_812,GSOIDG00000055001,2
operon_812,GSOIDG00000054001,3
operon_812,g5148,4
operon_811,g5146,1
operon_811,g5145,2
operon_811,g5144,3
operon_1528,g8656,1
operon_1528,g8655,2
operon_809,GSOIDG00000034001,1
operon_809,GSOIDG00000033001,2
operon_310,g2357,1
operon_310,g2356,2
operon_309,g2353,1
operon_309,g2352,2
operon_805,g5119,1
operon_805,g5118,2
operon_1525,g8631,1
operon_1525,g8630,2
operon_1525,g8629,3
operon_1525,g8628,4
operon_1525,g8627,5
operon_1525,g8626,6
operon_1525,g8625,7
operon_1525,g8624,8
operon_1525,g8623,9
operon_2013,g12393,1
operon_2013,g12392,2
operon_803,g5108,1
operon_803,g5107,2
operon_803,g5106,3
operon_803,g5105,4
operon_803,g5104,5
operon_303,g2336,1
operon_303,g2335,2
operon_2011,g12384,1
operon_303,g2334,3
operon_2011,g12383,2
operon_802,g5103,1
operon_2011,g12382,3
operon_802,g5102,2
operon_2011,g12381,4
operon_2011,g12380,5
operon_2011,g12379,6
operon_2011,g12378,7
operon_1520,g8606,1
operon_302,GSOIDG00008060001,1
operon_1520,g8605,2
operon_1519,g8604,1
operon_1519,g8603,2
operon_2010,g12374,1
operon_302,g2331,2
operon_2010,g12373,2
operon_2010,g12372,3
operon_1518,g8599,1
operon_1518,g8598,2
operon_1517,g8596,1
operon_1517,g8595,2
operon_2007,g12362,1
operon_2007,g12361,2
operon_301,g2321,1
operon_301,g2320,2
operon_1516,g8590,1
operon_2006,g12359,1
operon_2006,g12358,2
operon_2006,g12357,3
operon_1516,g8589,2
operon_1516,g8588,3
operon_1516,GSOIDG00011081001,4
operon_1516,g8587,5
operon_1516,g8586,6
operon_300,g2304,1
operon_300,g2303,2
operon_1513,g8572,1
operon_1513,g8571,2
operon_796,g5077,1
operon_796,g5076,2
operon_795,g5073,1
operon_795,GSOIDG00008808001,2
operon_795,GSOIDG00008809001,3
operon_795,g5071,4
operon_795,g5070,5
operon_795,g5069,6
operon_795,g5068,7
operon_795,g5067,8
operon_297,g2285,1
operon_297,g2284,2
operon_1509,g8553,1
operon_1509,g8552,2
operon_1509,GSOIDG00016228001,3
operon_297,g2283,3
operon_1509,GSOIDG00016229001,4
operon_1509,g8550,5
operon_1508,g8548,1
operon_1508,g8547,2
operon_794,g5051,1
operon_1508,g8546,3
operon_1507,g8545,1
operon_794,g5050,2
operon_294,GSOIDG00013805001,1
operon_1507,g8543,2
operon_1507,g8541,3
operon_793,GSOIDG00008837001,1
operon_793,GSOIDG00008838001,2
operon_294,GSOIDG00013806001,2
operon_793,GSOIDG00008839001,3
operon_293,g2277,1
operon_793,g5045,4
operon_293,g2276,2
operon_1506,g8538,1
operon_1506,g8537,2
operon_793,g5044,5
operon_292,g2271,1
operon_292,g2270,2
operon_1505,g8534,1
operon_1505,g8533,2
operon_1996,g12309,1
operon_1996,g12308,2
operon_1992,GSOIDG00006498001,1
operon_1992,GSOIDG00006497001,2
operon_1992,g12299,3
operon_1992,g12298,4
operon_1989,g12286,1
operon_1989,g12285,2
operon_1499,g8509,1
operon_1988,g12284,1
operon_1988,g12283,2
operon_1988,GSOIDG00006477001,3
operon_1499,g8508,2
operon_786,g5012,1
operon_786,GSOIDG00008883001,2
operon_786,GSOIDG00008884001,3
operon_1494,g8486,1
operon_786,g5010,4
operon_1494,g8485,2
operon_786,g5009,5
operon_1985,g12265,1
operon_1985,g12264,2
operon_282,g2228,1
operon_784,g5000,1
operon_282,g2227,2
operon_784,g4999,2
operon_784,g4998,3
operon_282,g2226,3
operon_282,g2225,4
operon_1490,g8470,1
operon_1490,g8469,2
operon_782,GSOIDG00008919001,1
operon_782,GSOIDG00008920001,2
operon_780,GSOIDG00008923001,1
operon_780,g4984,2
operon_780,g4983,3
operon_780,g4982,4
operon_280,g2208,1
operon_280,g2207,2
operon_777,g4972,1
operon_280,g2206,3
operon_777,g4971,2
operon_280,GSOIDG00008167001,4
operon_774,g4959,1
operon_774,g4958,2
operon_1484,g8405,1
operon_1484,g8404,2
operon_1483,g8403,1
operon_1483,g8402,2
operon_276,g2182,1
operon_276,GSOIDG00009490001,2
operon_1973,g12203,1
operon_1973,g12202,2
operon_769,g4939,1
operon_769,g4938,2
operon_769,GSOIDG00013659001,3
operon_768,GSOIDG00013658001,1
operon_768,g4936,2
operon_767,g4935,1
operon_767,g4934,2
operon_766,g4931,1
operon_273,g2169,1
operon_766,GSOIDG00013651001,2
operon_273,GSOIDG00009478001,2
operon_272,GSOIDG00009477001,1
operon_766,GSOIDG00013650001,3
operon_272,g2167,2
operon_271,g2166,1
operon_271,g2165,2
operon_271,g2164,3
operon_271,g2163,4
operon_271,g2162,5
operon_271,g2161,6
operon_270,g2156,1
operon_270,g2155,2
operon_270,g2154,3
operon_1972,g12182,1
operon_1972,g12181,2
operon_1972,g12180,3
operon_1972,g12179,4
operon_1971,g12178,1
operon_1971,g12177,2
operon_1971,GSOIDG00010695001,3
operon_1971,GSOIDG00010694001,4
operon_1478,g8374,1
operon_1478,g8373,2
operon_1478,g8372,3
operon_765,g4923,1
operon_765,g4922,2
operon_765,GSOIDG00013639001,3
operon_1477,g8368,1
operon_764,GSOIDG00013637001,1
operon_1477,g8367,2
operon_1477,g8366,3
operon_764,GSOIDG00013636001,2
operon_1477,g8365,4
operon_763,g4920,1
operon_763,g4919,2
operon_265,g2135,1
operon_1969,g12167,1
operon_1969,g12166,2
operon_265,g2134,2
operon_1968,g12165,1
operon_1968,g12164,2
operon_1968,g12163,3
operon_760,g4907,1
operon_760,g4906,2
operon_1469,g8338,1
operon_1469,g8337,2
operon_757,g4894,1
operon_757,g4893,2
operon_1469,g8336,3
operon_756,g4887,1
operon_756,g4886,2
operon_755,g4883,1
operon_755,g4882,2
operon_755,g4881,3
operon_1466,GSOIDG00002832001,1
operon_1466,GSOIDG00002831001,2
operon_1964,g12139,1
operon_1964,g12138,2
operon_1964,g12137,3
operon_1963,g12136,1
operon_1963,g12135,2
operon_1963,GSOIDG00001741001,3
operon_1963,GSOIDG00001740001,4
operon_1962,GSOIDG00001737001,1
operon_1962,GSOIDG00001736001,2
operon_1961,GSOIDG00001735001,1
operon_254,g2085,1
operon_1961,g12130,2
operon_254,g2084,2
operon_1960,g12129,1
operon_1960,g12128,2
operon_1960,GSOIDG00001732001,3
operon_1959,g12127,1
operon_1959,g12126,2
operon_1456,g8287,1
operon_1456,g8286,2
operon_1452,g8283,1
operon_1452,GSOIDG00003804001,2
operon_1451,g8276,1
operon_1451,g8275,2
